firstnameid	lastnameid	playerjerseynameid	commonnameid	role4	role3	gkglovetypecode	role5	role2	role1	eyebrowcode	skintypecode	haircolorcode	facialhairtypecode	curve	jerseystylecode	agility	tattooback	accessorycode4	gksavetype	positioning	tattooleftarm	hairtypecode	facepsdlayer0	standingtackle	preferredposition3	longpassing	penalties	animfreekickstartposcode	lipcolor	isretiring	longshots	gkdiving	icontrait2	interceptions	shoecolorcode2	crossing	potential	gkreflexes	finishingcode1	reactions	composure	skinsurfacepack	vision	contractvaliduntil	finishing	dribbling	slidingtackle	accessorycode3	preferredposition5	accessorycolourcode1	headtypecode	driref	sprintspeed	undershortstyle	height	hasseasonaljersey	tattoohead	preferredposition2	strength	shoetypecode	birthdate	preferredposition1	tattooleftleg	skinmakeup	ballcontrol	phypos	shotpower	trait1	socklengthcode	weight	hashighqualityhead	eyedetail	tattoorightarm	icontrait1	balance	gender	headassetid	gkkicking	defspe	internationalrep	preferredposition6	shortpassing	freekickaccuracy	skillmoves	faceposerpreset	usercaneditname	avatarpomid	finishingcode2	aggression	acceleration	paskic	headingaccuracy	iscustomized	preferredposition7	runningcode2	modifier	gkhandling	eyecolorcode	jerseysleevelengthcode	sockstylecode	accessorycolourcode3	accessorycode1	playerjointeamdate	headclasscode	tattoofront	nationality	preferredfoot	sideburnscode	weakfootabilitytypecode	jumping	personality	gkkickstyle	stamina	playerid	accessorycolourcode4	gkpositioning	headvariation	skillmoveslikelihood	trait2	shohan	skintonecode	shortstyle	overallrating	smallsidedshoetypecode	emotion	runstylecode	facepsdlayer1	muscularitycode	skincomplexion	jerseyfit	accessorycode2	shoedesigncode	shoecolorcode1	hairstylecode	bodytypecode	animpenaltiesstartposcode	pacdiv	defensiveawareness	runningcode1	preferredposition4	volleys	accessorycolourcode2	tattoorightleg	facialhaircolorcode
17746	7572	16747	0	0	33	0	0	140	137	50000	0	3	0	87	0	90	0	0	0	80	0	19	1	46	18	76	73	0	0	0	87	9	0	52	21	87	87	7	0	81	83	242101	89	2030	85	92	41	0	-1	0	3	90	87	0	176	0	0	27	69	1	145757	23	0	0	91	72	81	4202880	0	73	1	2	0	1048576	87	0	27	13	51	4	-1	87	86	3	0	0	0	0	64	89	86	59	0	-1	0	0	6	2	0	1	0	25	160273	0	0	14	1	0	4	79	4	0	82	27	0	16	0	3	0	84	3	0	87	501	3	0	3	0	1	0	0	0	15	0	8	0	88	55	0	-1	82	0	0	3
1298	33719	33719	0	0	0	0	0	41	144	1140401	0	2	0	80	0	70	0	0	0	91	0	150	3	57	-1	62	92	0	0	0	85	5	0	43	15	76	89	9	0	86	87	252001	74	2030	93	76	53	0	-1	0	2004	78	81	0	182	0	0	-1	87	1	141652	25	0	0	82	84	93	4194372	0	78	0	2	0	16	73	0	51	10	49	5	-1	82	85	2	0	0	0	0	79	83	76	94	0	-1	0	1	6	1	0	1	0	22	160432	0	0	14	1	0	3	87	2	0	83	51	0	9	0	1	0	91	3	0	89	500	3	0	3	0	1	0	0	0	0	0	2	0	82	27	17	-1	92	0	0	6
31875	19163	19163	0	0	114	0	0	19	118	2150000	0	3	287	68	0	68	0	0	0	68	0	104	3	90	-1	86	68	0	0	0	81	8	0	92	15	71	86	14	0	90	88	252001	84	2030	69	75	85	0	-1	0	4003	78	73	0	180	0	0	10	84	1	142014	14	0	0	84	87	63	88408064	0	76	1	2	0	512	75	0	240	12	84	4	-1	89	70	1	0	0	0	0	93	70	82	75	0	-1	0	1	14	10	0	1	0	0	160432	0	0	25	1	0	3	77	3	0	91	240	0	14	0	1	4096	69	2	0	86	500	5	0	4	0	1	0	0	0	0	0	2	0	72	76	0	-1	56	0	0	3
29016	33095	33095	0	0	0	0	0	131	121	10000	1	7	0	75	1	70	0	0	0	90	0	75	1	58	-1	92	71	1	0	0	92	7	0	80	15	87	88	8	0	87	87	252001	92	2030	82	73	40	0	-1	0	2021	78	73	0	171	1	0	18	71	1	143208	14	0	0	85	80	90	1313798	0	71	1	2	0	256	87	0	246	5	62	4	-1	91	71	2	0	0	0	0	87	75	89	81	0	-1	0	1	12	8	0	1	0	0	160432	0	0	14	1	0	4	84	5	0	92	246	0	15	0	2	512	86	1	0	88	500	2	0	4	0	1	0	0	0	0	0	8	0	74	54	0	-1	83	0	0	7
8642	4000	4000	0	0	122	0	0	24	123	240401	0	5	0	95	0	76	0	0	0	88	0	70	3	67	23	93	88	5	0	0	94	11	0	68	31	95	88	8	0	90	91	242101	92	2030	80	84	61	0	-1	0	1505	85	82	0	182	1	0	14	75	18	143375	12	0	0	88	80	86	67114243	0	74	0	2	0	8	81	0	250	8	66	4	-1	90	94	2	0	0	0	0	78	77	92	71	0	-1	0	1	13	7	1	1	0	0	160432	0	0	14	1	0	3	81	2	0	90	250	0	16	2	2	0	85	3	0	88	503	4	0	4	0	1	0	0	0	30	0	391	0	80	65	3	-1	81	0	0	6
31435	19163	19163	0	0	0	0	0	43	141	1140000	0	6	287	81	0	86	0	0	0	90	0	61	3	41	-1	64	82	0	0	0	86	11	0	43	0	72	86	16	0	92	87	242101	81	2030	89	87	17	0	-1	0	34	88	86	0	175	0	0	-1	71	0	145269	25	0	0	89	76	88	1048641	0	73	0	2	0	2	86	0	330	13	45	4	-1	81	61	3	0	0	0	0	76	88	76	72	0	-1	0	0	9	2	0	1	0	25	160111	0	0	25	1	0	4	72	2	0	88	330	0	14	0	2	4096	88	3	0	86	501	4	0	4	0	1	0	0	0	15	0	2	0	87	50	0	-1	87	0	0	6
23552	9050	9050	0	0	115	0	0	48	111	2010000	1	0	0	48	0	57	0	0	0	50	0	82	2	87	-1	70	53	0	0	0	57	7	0	89	15	51	88	11	0	85	90	250101	71	2030	40	59	85	0	-1	0	5002	66	83	0	185	1	0	10	90	1	140947	5	0	0	74	88	71	269352976	0	81	0	2	0	32768	56	0	1116	5	88	4	-1	74	40	1	0	0	0	0	91	80	65	87	0	-1	0	1	14	3	0	1	0	0	160432	0	0	18	1	0	3	82	4	0	81	1116	0	8	0	1	256	51	10	0	88	500	3	0	1	0	1	0	0	0	0	0	4	0	82	90	0	-1	50	0	0	0
13217	5694	5694	0	0	0	16	0	0	101	60401	1	0	287	23	1	64	0	0	0	14	0	68	3	16	-1	35	25	0	0	0	16	94	16	28	28	13	91	93	0	88	70	242101	67	2030	19	25	14	0	-1	0	52	93	48	0	192	0	0	-1	75	1	144377	0	0	0	26	89	59	0	0	82	1	2	0	0	58	0	1179	78	51	5	-1	37	17	0	0	0	0	0	42	53	78	13	0	-1	0	1	86	2	0	1	0	0	161228	0	0	27	1	0	2	78	5	3	42	1179	0	89	0	0	4608	86	3	0	91	500	4	0	2	0	1	0	0	0	0	0	5	0	94	18	0	-1	18	0	0	0
11374	6248	6248	0	0	48	0	0	11	112	2190103	0	3	0	61	0	82	0	0	0	35	0	43	0	93	-1	68	51	0	0	0	48	11	0	94	15	57	89	13	0	89	80	252001	53	2030	38	57	92	0	-1	0	42	67	77	0	176	1	0	-1	85	1	142779	5	0	0	68	83	56	491536	0	74	1	2	0	524288	80	0	1183	14	93	5	-1	71	36	1	0	0	0	0	83	83	62	88	0	-1	0	1	6	8	0	1	0	0	160684	0	0	27	1	0	3	91	2	0	76	1183	0	13	0	1	256	44	3	0	89	500	2	0	4	0	1	0	0	0	0	0	2	0	80	93	0	-1	41	0	0	0
13212	40378	40378	0	0	141	0	0	31	132	2150000	0	3	0	87	0	82	0	0	0	87	0	83	4	43	-1	81	86	0	0	0	87	15	0	32	15	82	87	8	0	88	83	250101	85	2030	90	91	36	0	-1	0	3	89	83	0	168	1	0	25	59	1	140152	18	0	0	89	63	88	9437320	0	67	1	2	0	1	84	0	1201	14	41	4	-1	87	90	3	0	0	0	0	62	87	85	62	0	-1	0	0	14	9	0	1	0	0	160432	0	0	27	1	0	4	51	3	0	74	1201	0	7	0	2	0	88	4	0	87	500	3	0	4	0	2	0	0	0	0	0	8	0	85	40	0	-1	81	0	0	3
